transaction_id,transaction_amount,transaction_hour,account_age_days,num_prior_transactions,is_fraud
1,544.6541332582888,16.228864709488263,2779,9,0
2,3217.874687258869,21.859996809408194,2933,7,0
3,1544.245231942575,20.70483444086617,2963,16,0
4,4564.154126568813,17.142993324129023,2959,14,0
5,1736.5258218264726,8.555412061990008,559,17,0
6,969.2645177271868,8.717288551702989,1462,17,0
7,393.1287304650177,11.132221463456142,868,12,0
8,367.62140034200365,23.0,847,19,0
9,6382.882525034206,17.95910087426796,1367,17,0
10,214.14387388875093,9.980129530960921,2405,13,0
11,2986.6553658839816,16.868011309347597,254,14,0
12,6651.347957318754,3.4019763613930536,258,15,0
13,314.2059341371996,8.453015175280365,1044,13,0
14,2384.19856572923,8.019023360233664,67,18,0
15,2129.9390485265003,9.144519495831624,830,13,0
16,2854.0878792111193,17.114505506174964,287,17,0
17,1260.1585632631927,12.718865547808315,2588,12,0
18,4532.991193305581,11.580978422082968,699,11,0
19,4398.960376543029,6.502546763235507,1171,12,0
20,10.0,9.417188607458641,1168,18,0
21,5956.569054706192,18.961107294060792,911,13,0
22,10.0,16.37482687974561,159,15,0
23,4595.859340496191,9.618772100841216,1079,15,0
24,1446.1150302650283,7.822815138258708,1007,15,0
25,918.4718263911773,13.639574032591325,1859,12,0
26,835.9370985383125,14.002372425578182,1583,21,0
27,3702.6153007761177,13.621838618748033,2179,11,0
28,2329.9754995391013,10.189644395277131,1712,14,0
29,1224.8849081012588,6.868646036217249,2,15,0
30,5271.179273040598,0.2714477643778199,1275,21,0
31,4578.366453470231,10.236211344624891,2056,9,1
32,3162.336530705163,13.263268598968002,237,15,0
33,2585.104742858458,0.7257737499706174,1131,10,0
34,1769.4225138043673,15.761568622221487,2607,14,0
35,4597.450650456599,3.8034001189120854,2317,16,0
36,3279.297577181764,17.26127904162624,1435,10,0
37,3954.8852228993,10.751363647635591,1312,11,0
38,4877.279998488192,18.646329672654176,1073,13,0
39,6432.17875165383,10.36438763680833,1581,17,0
40,10.0,4.873809252947384,1321,15,0
41,3535.957709044169,12.884517743739965,842,16,0
42,2591.4175232382822,7.586182601765486,1662,16,0
43,3933.999859832002,20.52746970992341,893,16,0
44,1531.1395893705967,12.40904520382262,2552,17,0
45,3413.602500119582,18.771925631628616,2910,14,0
46,6291.85548672227,12.2617236121015,2631,14,0
47,2116.117526763688,7.290960937007316,77,14,0
48,4263.563158815886,5.8829130777109935,2723,11,0
49,10.0,4.561864793311961,641,17,1
50,4655.1582712049885,13.725120850041556,1516,22,0
51,4063.8695960536734,16.68773037618297,169,17,0
52,4791.096598795868,15.006668188200816,931,12,0
53,10.0,19.350844728830612,1146,14,0
54,5366.65698395898,17.28656287278918,376,11,0
55,380.1674170754645,11.647277179924892,312,16,0
56,443.3112119126022,14.312861356300466,170,17,0
57,10.0,6.517300261328604,1874,5,1
58,1135.820527039639,7.7357604913343945,1133,23,0
59,2976.9369799665737,2.2548878825501966,2780,16,0
60,4317.661245875497,6.734446902411841,1406,15,0
61,7132.518250906964,15.10175427296959,2380,8,1
62,4746.402178558365,18.04600310908296,2584,13,0
63,2826.949455315988,17.72732798669796,1314,18,0
64,2334.7367165407954,17.73371352563826,254,14,0
65,2969.6031111333964,14.401666561621427,1551,16,0
66,2396.6590652044033,13.870527110397608,2858,19,0
67,4428.652874142781,10.837041139098819,963,13,0
68,5511.334924366551,3.0251667160957343,1874,13,0
69,1186.4940267280347,15.97554154781464,907,11,0
70,2274.251776161635,11.413876780261399,2781,18,0
71,2949.9945270917033,12.011589904061752,857,20,0
72,1122.005389312219,10.322358407792125,1303,17,0
73,1814.1177826099072,10.008904635835364,2074,20,0
74,4150.415172893441,19.839859267600936,1947,13,0
75,2664.570074717688,15.176291013829841,2502,18,0
76,3041.182074011779,4.560595592297184,709,5,1
77,7907.165654989127,6.364157986263239,2205,22,0
78,3946.8773042226903,21.023620811994025,534,10,0
79,2409.18376894351,19.604046745074903,2531,15,0
80,4571.1688013195735,15.66403820988115,343,14,0
81,10.0,8.792174811937404,11,11,0
82,4825.449680206584,13.677671651879665,1240,20,0
83,7480.653078667134,11.070192534985848,949,22,0
84,1684.197715481614,3.968890154069289,17,14,0
85,4366.221239190859,11.633999934578345,318,16,0
86,6136.487038884949,16.024530326031638,1888,19,0
87,4193.190514805017,13.465143575845708,75,21,0
88,5302.147787165919,19.243936537758948,2747,12,0
89,2155.6153678815144,8.232381019753952,1066,14,0
90,2380.2262527122957,0.4349248897115583,2675,13,0
91,10.0,17.8368899172228,660,8,0
92,2202.6662729448794,11.331204393491214,991,16,0
93,1555.8043294443416,20.164688136711035,1679,11,0
94,4384.726962847702,10.43019512797724,813,12,0
95,3963.5636867013263,12.221047064233053,907,9,0
96,5540.393015695612,7.35076946253449,53,13,0
97,3104.911708835949,19.333489574019353,1630,11,0
98,2873.099052687964,10.639830021698947,2306,12,0
99,3495.909441307199,8.898056211114927,2623,15,0
100,5711.335163831848,15.574641394209593,2006,19,0
101,158.73907027924088,14.920515628147575,1465,15,0
102,6394.0051760737915,11.218835560352492,770,8,0
103,10.0,3.426133072274231,2372,13,0
104,2982.4504628388727,9.627437257272845,220,11,0
105,3650.99386103965,23.0,1373,14,0
106,262.30968784701645,12.739967726717952,1990,16,0
107,3182.529574076908,10.729311097159895,1272,18,0
108,1665.566604961781,19.795747417132404,611,12,0
109,3847.2710983757406,11.620919038755812,303,22,0
110,10.0,11.565061745979094,221,14,0
111,7437.554914135035,16.04587748573458,1662,15,0
112,6078.685406328632,17.70138094325896,2004,17,0
113,6056.681611196046,17.08706122759245,1392,16,0
114,565.7907717191615,7.093722943000638,2413,25,0
115,3135.856496078885,11.098765570357559,734,13,0
116,2698.324977168388,21.534910058353486,2210,14,0
117,1178.8184879573873,0.8362315833493525,2476,16,1
118,2470.2225982760915,10.798373877125854,2708,10,0
119,5036.325671544085,19.494569200693977,2951,13,0
120,794.9489124818847,14.421091520363191,2062,12,0
121,3219.864884757574,23.0,1556,13,0
122,6098.47892836487,6.744476826552867,2562,12,0
123,5205.111073172913,21.556819278642706,992,9,0
124,4136.008471923396,16.113207739591786,257,15,0
125,6447.889905632574,16.46343786769414,518,12,0
126,1415.3002672876926,11.837238457071555,1621,13,0
127,4978.260448446792,12.474143630252616,1826,9,0
128,102.7933550116345,11.163061630462137,2243,14,0
129,2560.418788056121,3.637185410710373,985,21,0
130,2173.2112968399315,8.867966291956952,1789,14,0
131,2818.3069706326314,0.0,558,16,0
132,4358.93595191812,9.379286642002432,1874,15,0
133,4719.810745325514,14.169462110068594,411,19,0
134,4866.27203849591,13.244294139250826,2477,12,0
135,6726.0034272316125,12.862453470008685,907,12,0
136,1017.656403474502,15.823960289600656,2848,16,0
137,374.62556756327376,6.661678649464374,1239,15,0
138,3000.487534661196,12.982292737213614,354,11,0
139,1018.4134228832847,2.7552106897426807,2135,15,0
140,6337.543376854162,11.525935799561319,846,18,0
141,5706.511549074144,7.301522024927369,1880,9,0
142,10.0,5.822171389650274,399,12,0
143,1956.9303738394117,4.705716701023034,1317,13,0
144,2344.719036786568,4.435029232749808,2562,20,0
145,2626.572506794937,16.964713566288495,2715,16,0
