customer_id,name,city,age,monthly_income,signup_date
2,Customer_2,Delhi,43.0,140803.47,2025-01-04
4,Customer_4,Hyderabad,53.0,83833.45999999999,2025-01-10
5,Customer_5,Bangalore,43.0,125164.1,2025-01-13
6,Customer_6,Bangalore,28.0,56022.04,2025-01-16
8,Customer_8,Hyderabad,64.0,139693.84,2025-01-22
9,Customer_9,Hyderabad,62.0,24445.87,2025-01-25
10,Customer_10,Pune,59.0,120538.87,2025-01-28
11,Customer_11,Hyderabad,64.0,19738.9,2025-01-31
12,Customer_12,Mumbai,54.0,83725.75,2025-02-03
13,Customer_13,Delhi,56.0,74236.88,2025-02-06
14,Customer_14,Chennai,38.0,108220.44,2025-02-09
15,Customer_15,Mumbai,38.0,120198.29,2025-02-12
16,Customer_16,Delhi,30.0,21375.93,2025-02-15
17,Customer_17,Mumbai,59.0,25065.76,2025-02-18
19,Customer_19,Hyderabad,56.0,111167.25,2025-02-24
20,Customer_20,Hyderabad,43.0,35354.56,2025-02-27
21,Customer_21,Bangalore,36.0,97993.08,2025-03-02
22,Customer_22,Mumbai,43.0,35364.88,2025-03-05
23,Customer_23,Mumbai,62.0,77333.85,2025-03-08
24,Customer_24,Hyderabad,52.0,147335.54,2025-03-11
25,Customer_25,Delhi,23.0,128875.09,2025-03-14
26,Customer_26,Delhi,34.0,108408.5,2025-03-17
27,Customer_27,Mumbai,53.0,77477.86,2025-03-20
28,Customer_28,Chennai,45.0,138764.44,2025-03-23
29,Customer_29,Pune,51.0,113896.61,2025-03-26
32,Customer_32,Delhi,33.0,93130.72,2025-04-04
34,Customer_34,Pune,38.0,73876.08,2025-04-10
35,Customer_35,Chennai,44.0,64046.78,2025-04-13
36,Customer_36,Delhi,46.0,53359.34,2025-04-16
37,Customer_37,Mumbai,27.0,119223.44,2025-04-19
39,Customer_39,Pune,63.0,36982.17,2025-04-25
40,Customer_40,Pune,18.0,117695.55,2025-04-28
41,Customer_41,Pune,23.0,121086.8,2025-05-01
42,Customer_42,Pune,23.0,114711.89,2025-05-04
44,Customer_44,Pune,53.0,59578.55,2025-05-10
47,Customer_47,Hyderabad,48.0,139891.55,2025-05-19
48,Customer_48,Pune,48.0,98507.7,2025-05-22
49,Customer_49,Hyderabad,30.0,33805.98,2025-05-25
50,Customer_50,Pune,56.0,33566.43,2025-05-28
51,Customer_51,Hyderabad,43.0,64392.18,2025-05-31
52,Customer_52,Pune,50.0,30588.39,2025-06-03
54,Customer_54,Chennai,50.0,50013.08,2025-06-09
55,Customer_55,Pune,43.0,29914.52,2025-06-12
56,Customer_56,Pune,33.0,40395.4,2025-06-15
57,Customer_57,Bangalore,20.0,58734.49,2025-06-18
58,Customer_58,Delhi,25.0,104847.78,2025-06-21
59,Customer_59,Chennai,51.0,57114.49,2025-06-24
60,Customer_60,Mumbai,26.0,85733.08,2025-06-27
61,Customer_61,Delhi,57.0,60058.74,2025-06-30
62,Customer_62,Hyderabad,48.0,26925.21,2025-07-03
64,Customer_64,Chennai,43.0,49059.54,2025-07-09
65,Customer_65,Pune,61.0,44464.96,2025-07-12
67,Customer_67,Delhi,43.0,119999.9,2025-07-18
